name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;169;0;613;3095;1527;3095;1318;0
header;37;179;37;220;1661;220;1661;179
A;835;242;835;269;856;269;856;242
A;953;561;953;575;961;575;961;561
A;823;620;823;628;831;628;831;620
A;735;667;735;673;739;673;739;667
A;541;805;541;811;547;811;547;805
B;848;920;848;946;866;946;866;920
A;354;1266;354;1273;359;1273;359;1266
C;854;1615;854;1642;873;1642;873;1615
B;1367;1991;1367;2009;1380;2009;1380;1991
A;1280;2234;1280;2241;1287;2241;1287;2234
D;864;2286;864;2312;883;2312;883;2286
B;1228;2868;1228;2884;1238;2884;1238;2868
B;635;2869;635;2884;645;2884;645;2869
A;683;2904;683;2929;691;2929;691;2904
A;659;2905;659;2920;668;2920;668;2905
A;1187;2905;1187;2919;1191;2919;1191;2905
