name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;861;0;931;3095;1042;3095;950;0
header;110;88;110;121;1742;121;1742;88
A;919;145;919;173;942;173;942;145
A;947;750;947;750;947;750;947;750
A;968;764;968;780;976;780;976;764
B;929;805;929;831;949;831;949;805
A;969;903;969;919;977;919;977;903
D;965;1259;965;1286;998;1286;998;1259
D;902;1273;902;1288;912;1288;912;1273
C;928;1482;928;1512;949;1512;949;1482
A;967;1595;967;1610;975;1610;975;1595
D;961;1875;961;1891;970;1891;970;1875
D;938;2085;938;2115;961;2115;961;2085
